taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
1329174	7ddf754f-d193-4cc9-b351-99906754a03b	1329147	1329172		Eustenancistrocerus flavellus Giordani Soika, 1952	Giordani Soika, 1952	Eustenancistrocerus flavellus	Eustenancistrocerus	flavellus		species			heterotypic synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Eumenidae	Eustenancistrocerus
5036526	7ddf754f-d193-4cc9-b351-99906754a03b	1329147	1329172		Ancistrocerus iranensis Giordani Soika, 1943	Giordani Soika, 1943	Ancistrocerus iranensis	Ancistrocerus	iranensis		species			heterotypic synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Eumenidae	Eustenancistrocerus
1329177	7ddf754f-d193-4cc9-b351-99906754a03b	1329147	1329172		Eustenancistrocerus hoberlandti Giordani Soika, 1951	Giordani Soika, 1951	Eustenancistrocerus hoberlandti	Eustenancistrocerus	hoberlandti		species			heterotypic synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Eumenidae	Eustenancistrocerus
9072554	9ca92552-f23a-41a8-a140-01abaa31c931	1356743	5042934		Calliopsis andreniformis rhodophila Cockerell, 1897	Cockerell, 1897	Calliopsis andreniformis rhodophila	Calliopsis	andreniformis	rhodophila	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Calliopsis
9662745	9ca92552-f23a-41a8-a140-01abaa31c931	5042924		9796211	Calliopsis scutellaris peninsularis (Cockerell, 1923)	(Cockerell, 1923)	Calliopsis scutellaris peninsularis	Calliopsis	scutellaris	peninsularis	subspecies			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Calliopsis
7611214	7ddf754f-d193-4cc9-b351-99906754a03b	4298378			Brachystegus ciliosus Wu & Zhou, 1991	Wu & Zhou, 1991	Brachystegus ciliosus	Brachystegus	ciliosus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Brachystegus
4513130	90d9e8a6-0ce1-472d-b682-3451095dbc5a	1401204			Apegus rufipedus Kozlov & Kononova, 1986	Kozlov & Kononova, 1986	Apegus rufipedus	Apegus	rufipedus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Apegus
7786433	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis platynota G.Bohart & R.Bohart, 1962	G.Bohart & R.Bohart, 1962	Larropsis platynota	Larropsis	platynota		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
8429511	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis washoensis G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis washoensis	Larropsis	washoensis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
7638673	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis corrugata G.Bohart & R.Bohart, 1962	G.Bohart & R.Bohart, 1962	Larropsis corrugata	Larropsis	corrugata		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
